207.26,102.06,0.442,0.672,9.2
192.02,81.647,0.435,0.797,11.7
195.07,86.183,0.456,0.761,15.8
188.98,81.647,0.416,0.651,8.6
210.31,92.987,0.449,0.9,23.2
195.07,102.06,0.431,0.78,27.4
192.02,83.915,0.487,0.771,9.3
207.26,106.6,0.469,0.75,16
210.31,106.6,0.435,0.818,4.7
204.22,95.255,0.48,0.825,12.5
210.31,111.13,0.516,0.632,20.1
210.31,111.13,0.493,0.757,9.1
192.02,83.915,0.374,0.709,8.1
185.93,83.915,0.424,0.782,8.6
188.98,81.647,0.441,0.775,20.3
207.26,99.791,0.503,0.88,25
198.12,87.998,0.503,0.833,19.2
231.65,102.06,0.425,0.571,3.3
192.02,95.255,0.371,0.816,11.2
216.41,108.86,0.504,0.714,10.5
207.26,102.06,0.4,0.765,10.1
222.5,119.3,0.482,0.655,7.2
195.07,95.255,0.475,0.244,13.6
207.26,106.6,0.428,0.728,9
219.46,104.33,0.559,0.721,24.6
195.07,86.183,0.441,0.757,12.6
201.17,99.791,0.492,0.747,5.6
207.26,95.255,0.402,0.739,8.7
185.93,81.647,0.415,0.713,7.7
198.12,106.6,0.492,0.742,24.1
195.07,83.915,0.484,0.861,11.7
182.88,79.379,0.387,0.721,7.7
182.88,87.091,0.436,0.785,9.6
222.5,119.3,0.482,0.655,7.2
185.93,81.647,0.34,0.821,12.3
204.22,108.86,0.516,0.728,8.9
195.07,95.255,0.475,0.846,13.6
176.78,72.576,0.412,0.813,11.2
210.31,104.33,0.411,0.595,2.8
213.36,111.13,0.407,0.573,3.2
222.5,103.42,0.445,0.726,9.4
179.83,70.308,0.291,0.707,11.9
188.98,90.719,0.449,0.804,15.4
207.26,106.6,0.546,0.784,7.4
213.36,106.6,0.48,0.744,18.9
179.83,47.628,0.359,0.839,7.9
185.93,81.647,0.528,0.79,12.2
173.74,83.915,0.352,0.701,11
216.41,111.13,0.414,0.778,2.8
176.78,81.647,0.425,0.872,11.8
225.55,108.86,0.599,0.713,17.1
207.26,102.06,0.482,0.701,11.6
207.26,97.523,0.457,0.734,5.8
213.36,104.33,0.435,0.764,8.3
