2.07,0.779
2.37,0.916
2.54,0.905
2.54,0.906
2.55,0.939
2.79,0.967
2.91,0.964
3.04,0.914
3.11,0.939
3.16,0.961
3.33,0.898
3.38,0.912
3.41,0.942
3.42,0.966
3.53,1.05
3.64,1.01
3.67,0.96
3.93,0.969
4.05,1.08
4.25,1.15
4.34,1.03
4.38,1.01
4.42,0.967
4.61,1.09
4.69,1.06
4.98,1.12
5.04,1.03
5.07,1.09
5.42,1.07
5.44,1.16
5.46,1.08
5.57,1.11
5.6,1.1
5.69,1.16
5.72,1.14
5.85,1.08
6.2,1.13
6.35,1.12
6.48,1.2
6.74,1.21
6.86,1.13
7.02,1.12
7.08,1.21
7.15,1.25
7.47,1.25
7.6,1.18
7.74,1.19
7.77,1.3
7.83,1.26
7.93,1.26
